solID,perfQ,#changes,pas,reliability
140,-0.18041977339717064,6.37,13.0,-0.8207117855586359
156,-0.09471931153261849,5.359999999999999,11.0,-0.8465844148351568
192,-0.20994736768677663,14.89,6.0,-0.7632456196358034
196,-0.17520371720454433,6.56,13.0,-0.8484412613320225
234,-0.24486408721620054,16.69,6.0,-0.4535200027541453
246,-0.1658519503989355,10.76,12.0,-0.1553522277385961
248,-0.09471931153261849,5.359999999999999,11.0,-0.8465844148351568
256,-0.28063284830484475,16.69,6.0,-0.7628989343360879
258,-0.1658519503989355,10.76,12.0,-0.15535222773859614
262,-0.1801354541051717,12.93,6.0,-0.7632456196358034
276,-0.28063528315512976,13.75,6.0,-0.7632456196358034
280,-0.09471931153261849,5.359999999999999,11.0,-0.8465844148351568
282,-0.28063284830484475,16.69,6.0,-0.7628989343360879
294,-0.17520371720454433,6.56,13.0,-0.8484412613320225
298,-0.1658519503989355,10.76,12.0,-0.15535222773859622
302,-0.19583401835047182,13.09,9.0,-0.7616401106546125
