solID,perfQ,#changes,pas,reliability
78,-0.1141660915994722,6.34,13.0,-0.5197431617229178
102,-0.09851293099421118,8.17,10.0,-0.5022993627078776
132,-0.06984977226206403,8.01,12.0,-0.8447064803690858
136,-0.04473144420699471,4.35,12.0,-0.7420949763585925
142,-0.14246016128333058,11.92,8.0,-0.7898820760784766
188,-0.06984977226206403,8.01,12.0,-0.8447064803690858
196,-0.11927096255204576,10.469999999999999,8.0,-0.8171490292021797
220,-0.10919366187186995,5.36,13.0,-0.7403832389415965
250,-0.046158762678549285,4.35,11.0,-0.7980086405120294
262,-0.1141660915994722,6.34,13.0,-0.5197431617229178
266,-0.1141660915994722,6.34,13.0,-0.5197431617229178
272,-0.046158762678549285,4.35,11.0,-0.7980086405120294
282,-0.15486663236741413,11.92,8.0,-0.8186665695163591
286,-0.10919366187186995,5.36,13.0,-0.7403832389415965
296,-0.11927096255204576,10.469999999999999,8.0,-0.8171490292021797
298,-0.06984977226206403,8.01,12.0,-0.8447064803690858
