solID,perfQ,#changes,pas,reliability
0,-0.05882389950684829,10.47,1.0,-0.8471106006077714
6,-0.21240173815856891,12.75,1.0,-0.29856199
12,-0.11765478894816839,7.0,1.0,-0.43242952000000007
14,-0.08517647937495203,7.51,1.0,-0.6513272269064596
15,-0.11627391580588539,11.74,1.0,-0.6165543212225733
32,-0.11627391580588539,11.74,1.0,-0.6165543212225733
10,-0.17647058823529413,20.29,1.0,-0.558863950045043
16,-0.17647058823529413,20.29,1.0,-0.5515939000450429
2,-0.11764705882352941,16.22,0.0,-0.3057355905627286
72,-0.1535782087468042,12.620000000000001,1.0,-0.30400561056272857
88,-0.17647058823529413,20.29,1.0,-0.558863950045043
104,-0.21240173815856891,12.75,1.0,-0.29856199
108,-0.013860493389472348,7.0,1.0,-0.5902057188417965
112,-0.1535782087468042,12.620000000000001,1.0,-0.30400561056272857
116,-0.21240173815856891,12.75,1.0,-0.29856199
122,-0.17647058823529413,20.29,1.0,-0.558863950045043
