solID,perfQ,#changes,pas,reliability
10,-0.14397008481298562,4.54,1.0,-0.8435992269064596
11,-0.2027937943245217,16.82,0.0,-0.7124220600450429
15,-0.04973687239385731,11.74,0.0,-0.7126953000450429
19,-0.2027937943245217,16.82,0.0,-0.7124220600450429
26,-0.0588235294117704,3.09,1.0,-0.44094611056272864
35,-0.04973687239385731,11.74,0.0,-0.7126953000450429
44,-0.2027937943245217,16.82,0.0,-0.7124220600450429
45,-0.2027937943245217,16.82,0.0,-0.7124220600450429
49,-0.04973687239385731,11.74,0.0,-0.7126953000450429
52,-0.2027937943245217,16.82,0.0,-0.7124220600450429
53,-0.04973687239385731,11.74,0.0,-0.7126953000450429
56,-0.04973687239385731,11.74,0.0,-0.7126953000450429
57,-0.2027937943245217,16.82,0.0,-0.7124220600450429
62,-0.2027937943245217,16.82,0.0,-0.7124220600450429
63,-0.14397008481298562,4.54,1.0,-0.8435992269064596
105,-0.14397008481298562,4.54,1.0,-0.8435992269064596
