solID,perfQ,#changes,pas,reliability
0,-0.260207883770762,10.0,7.0,-0.7641182259643946
1,-0.2048993086606183,8.65,11.0,-0.4364102551689675
2,-0.08928397242350854,8.14,12.0,-0.7499131529565491
4,-0.0870035167821728,7.859999999999999,10.0,-0.8021626933621561
10,-0.09626838402070904,9.59,7.0,-0.7880500073291282
12,-0.07822743898358754,7.789999999999999,10.0,-0.3325995208110857
14,-0.00829087868086737,15.55,7.0,-0.8207117855586359
21,-0.08495310658361317,11.260000000000002,3.0,-0.5817136455895198
25,-0.12121941437877555,9.78,9.0,-0.40006039326815834
26,-0.10799553405129587,7.79,10.0,-0.3786875408249407
27,-0.017210919941531854,7.2,10.0,-0.9440177635014466
31,0.05371686851751291,6.37,11.0,-0.7891212395686934
34,0.144765588839318,7.9799999999999995,5.0,-0.7395051677333551
38,-0.12880810404400728,8.93,10.0,-0.2906540704646529
40,-0.11983107048745621,9.59,6.0,-0.05257281806953126
48,-0.3705641873921088,12.36,7.0,-0.11388107993831396
49,-0.15178157780681736,9.43,13.0,-0.5574674906411246
52,0.06946558170873272,12.44,6.0,-0.7195927886638189
59,0.011430305000317355,6.18,11.0,-0.07190810890556065
62,-0.029296383732637075,7.379999999999999,15.0,-0.2443248656510063
63,0.0966762926150171,13.34,2.0,-0.8486589351271313
64,-0.16882004890285499,9.94,10.0,-0.7893183827123553
68,-0.006082918708611993,7.4399999999999995,9.0,-0.05185285447378074
72,-0.22634862133618694,7.629999999999999,9.0,0.040258435081169136
78,-0.05397957659978565,8.52,9.0,-0.8327768222100367
79,-0.09176321893030606,7.16,9.0,-0.03377867294374026
82,-0.0971889959389336,8.3,11.0,-0.4883947701590687
84,-0.0956592827441276,10.32,10.0,-0.8924548023973966
91,-0.23557845134313632,18.2,5.0,-0.7632973071660973
98,-0.011590001893209727,6.6899999999999995,11.0,-0.7270616647588416
101,-0.2202514467983993,9.149999999999999,12.0,-0.5511664623827548
