solID,perfQ,#changes,pas,reliability
1837,-0.21063793113876114,7.04,13.0,-0.3899361610336393
1847,-0.14508927787133682,8.45,8.0,-0.10542380371242364
1850,-0.2347476002746959,14.950000000000001,12.0,-0.543266523689274
1851,-0.171682406998374,6.6899999999999995,10.0,-0.28288936832697903
1856,0.028452772207487258,6.72,6.0,-0.37013783305399317
1858,-0.30836804444921484,11.26,9.0,-0.03504170933541423
1861,-0.09271867206033162,23.15,4.0,-0.7336849951865637
1864,-0.08685685328126236,8.3,3.0,-0.8162702969314246
1865,-0.08261096484477937,7.73,12.0,-0.7429524453925507
1867,0.06200513336231587,7.7,8.0,-0.8211130340979131
1872,-0.14855743120538165,8.989999999999998,11.0,-0.4777340771526684
1873,-0.008290841829248575,7.6,8.0,-0.8094191516092315
1875,-0.24228649644920006,7.35,9.0,0.19138049512650068
1889,-0.23214288741098674,10.53,9.0,-0.08073513531001111
1890,-0.006892800874752996,7.35,9.0,-0.1099771440725903
1894,-0.18781046847837496,11.48,12.0,-0.7662295851713934
1897,-0.35996242484903374,12.739999999999998,8.0,-0.26969498339428255
1899,-0.14346972372293904,9.59,11.0,-0.8122944383119028
1900,0.14276561962183248,8.33,6.0,-0.8209393166955515
1901,-0.16028914036847444,9.75,12.0,-0.7159215401709601
1905,-0.31697249565334956,9.18,13.0,-0.39318288083085484
1906,-0.011320130197111155,12.21,11.0,-0.8922527351760402
1912,-0.03188664334623458,7.04,10.0,-0.8920642874619116
1914,-0.12729979264950703,7.98,9.0,-0.1574304571475696
1920,-0.041819404517549966,7.54,9.0,-0.6078026699148517
1923,-0.07120344198092401,8.17,11.0,-0.7750656771536678
1934,-0.0669076024372844,8.14,5.0,-0.6237570887457365
