solID,perfQ,#changes,pas,reliability
7,-0.08312157207353048,8.14,10.0,-0.8613767843089573
26,0.11057118993972302,10.379999999999999,5.0,-0.8199664834807114
30,-0.10171393899521287,9.15,7.0,-0.6939969122174852
46,-0.1055194436137437,8.74,9.0,-0.8207117855586359
86,-0.28331295727543626,18.36,9.0,-0.763086383988203
90,-0.20994736768677666,14.89,6.0,-0.7632456196358034
96,-0.10490315296924073,6.59,10.0,-0.8029388351180754
108,-0.21619763603441156,16.12,5.0,-0.758156189382157
120,-0.1853773559885615,7.0,13.0,-0.8120543134264977
124,0.11057118993972302,10.379999999999999,5.0,-0.8199664834807114
134,-0.24486408721620054,18.67,6.0,-0.7632456196358034
144,0.11057118993972302,10.379999999999999,5.0,-0.8199664834807114
148,-0.1055194436137437,8.74,9.0,-0.8207117855586359
152,0.11057118993972302,10.379999999999999,5.0,-0.8199664834807114
160,-0.10490315296924073,6.59,10.0,-0.8029388351180754
178,-0.1853773559885615,7.0,13.0,-0.8120543134264977
