solID,perfQ,#changes,pas,reliability
80,-0.11430950461475474,5.36,0.0,-0.8465975606077715
295,-0.0745060536625181,3.09,1.0,-0.7255298277426793
364,-0.0745060536625181,3.09,1.0,-0.7255298277426793
365,-0.0745060536625181,3.09,1.0,-0.7255298277426793
434,-0.11430950461475474,5.36,0.0,-0.8465975606077715
456,-0.11430950461475474,5.36,0.0,-0.8465975606077715
460,-0.17313303402651944,6.37,0.0,-0.7875468106077714
461,-0.11430950461475474,5.36,0.0,-0.8465975606077715
464,-0.0745060536625181,3.09,1.0,-0.7255298277426793
465,-0.0745060536625181,3.09,1.0,-0.7255298277426793
471,-0.11430950461475474,5.36,0.0,-0.8465975606077715
478,-0.0745060536625181,3.09,1.0,-0.7255298277426793
479,-0.11430950461475474,5.36,0.0,-0.8465975606077715
482,-0.11430950461475474,5.36,0.0,-0.8465975606077715
490,-0.11430950461475474,5.36,0.0,-0.8465975606077715
600,-0.0745060536625181,3.09,1.0,-0.7255298277426793
