solID,perfQ,#changes,pas,reliability
9,-0.21073298562097148,4.35,0.0,-0.7582429105627285
14,-0.2352945494251091,18.62,1.0,-0.44917639000000004
8,-0.21240173815856891,11.74,1.0,-0.42818405
58,-0.21240173815856891,11.74,1.0,-0.42818405
74,-0.21073298562097148,4.35,0.0,-0.7582429105627285
82,-0.1535487559696109,17.3,1.0,-0.4403882205627285
90,-0.2123722853813756,18.310000000000002,1.0,-0.4403882205627285
124,-0.2352945494251091,18.62,1.0,-0.44917639000000004
136,-0.21073298562097148,4.35,0.0,-0.7582429105627285
140,-0.21240173815856891,11.74,1.0,-0.42818405
164,-0.21240173815856891,11.74,1.0,-0.42818405
166,-0.2118796265171813,20.77,0.0,-0.4403882205627285
170,-0.21073298562097148,4.35,0.0,-0.7582429105627285
178,-0.2118796265171813,20.77,0.0,-0.4403882205627285
184,-0.2352945494251091,18.62,1.0,-0.44917639000000004
188,-0.2123722853813756,18.310000000000002,1.0,-0.4403882205627285
